Yelp ID,Business name,Category,Average star rating,Review count,Price,Ambience,mean_compound,pct_positive,pct_negative,cluster
PvSXC4ff8qkMH7-ss7flTw,The Union Kitchen,"Breakfast & Brunch, Cocktail Bars, Modern European",4.1,240,$$,,0.745,85.7,0.0,1
C061Z9JMNtHuivJi3EMfGA,Frihavn Pizzaria,Pizza,4.2,6,$,,0.795,100.0,0.0,0
CpP26NoqAePCd5A4ZBX6ig,Restaurant Vietnam,Vietnamese,3.7,3,$$,,0.953,100.0,0.0,5
ki-5x0hQ73QKWaDIgqJXvQ,Brasserie Barner,"French, Brasseries",4.8,5,,,,,,3
7aAvVtbCmt4IdLvEtmTNZQ,Nordisk Falafel,"Falafel, Vegan, Vegetarian",4.4,7,,,,,,3
oE2LbMCk_JRGAstqtmapSw,Pizza D'Italia,"Pizza, Italian, Sandwiches",5.0,4,$,,0.674,100.0,0.0,0
pjfPRpyaHm7nwloRDejrjA,The Vietnamese,Vietnamese,4.6,17,,,,,,3
CD-0ZTk98D27gEJ8XHkl8A,Alchemist,Restaurants,4.5,23,,,,,,3
mMDq90p0RUytcmrlrPDzoQ,Cafe Oscar,"Open Sandwiches, Breakfast & Brunch",4.1,30,$$,cozy,0.316,71.4,28.6,5
JI0zGTU1mrWStWATzGuqTw,Østerbros Originale Burgerrestaurant,Burgers,2.8,24,$,,0.484,66.7,0.0,0
jjmQEZpFcChy_L7lXFhCng,Yuca Taco,"Mexican, Food Trucks",4.3,12,$$,,0.532,85.7,14.3,3
rCh0EfG9C1n6aWOqG1fwoQ,Iki Sushi,"Sushi Bars, Japanese",3.8,21,$$,,0.462,80.0,20.0,5
2di_YHxnj8i68jG1O1t4pA,Izumi Østerbro,Sushi Bars,4.2,14,$$,,0.496,85.7,14.3,5
i45KynHOMWXBJtevd2_F-Q,The Pescatarian,"Seafood, Danish, Scandinavian",5.0,10,,,,,,3
JS1H2-_yTIsGV6bAmSzLkg,Hachi Sushi,"Sushi Bars, Japanese",4.6,7,$$,,0.839,100.0,0.0,3
2qYBnWxPd-26kg1RiayooA,Noma,"Modern European, Danish, Scandinavian",4.4,76,$$$$,,0.671,85.7,14.3,2
b2amu72HeR0HFzvn1KxLJg,SALT Bar & Restaurant,"Modern European, Bars, Scandinavian",3.6,26,$$,,0.324,71.4,28.6,5
7F1957mvoWoYrMyvPyJ6Hg,The Taco Shop 2,Mexican,3.1,38,$,,0.298,71.4,28.6,0
l5ylSmPAOK6gFXNQVCVoZg,Hummer,Seafood,4.2,46,$$$,,0.445,71.4,14.3,2
