Yelp ID,Business name,Category,cluster
TTmDYkjQGRAnD1gtduj_ug,Restaurant Palægade,Open Sandwiches,0
NIgIv8hUDLAJPA1YGmXiig,Retour Steak,Steakhouses  Beer  Wine and Spirits  Cocktail Bars,0
TWHzNyrOjZdqmZnR3gNXng,Restaurant Vita,Scandinavian,2
nTAF5Syge1k3aCngakeRxQ,Pizzeria Cavallino,Italian  Pizza  Sandwiches,0
tbjZvFHGXoRfK-cdA7zXbQ,Quattro Fontane 4,Specialty Food  Delis,0
qLikhypg5flNOxsaVblZsg,Holberg no. 19,Sandwiches  Mediterranean,0
T7cnA63aujMdfjRCHkgqTA,The Shrimp,Modern European,2
uxJ4GDZx9s4aQ0EgxHefPQ,Restaurant Sejlklubben Frem,Danish,2
CEm48sIr-PJNrw4sKsKejA,Veggie Heroes,Chinese  Vegan  Vegetarian,0
BEU6KgxOfFlEoQNcA437Dw,Sporvejen,Burgers  Themed Cafes,1
uRCvUWDGqkKn7R7cXVpQ0w,Bistro 23,Seafood  French  Bistros,0
S7UIuIh9mXCejML1EtWfpg,Halifax,Burgers,0
o5mJ-jjGnXXbVL2xgOc5-A,La Tradizionale,Pizza  Italian  Sandwiches,0
UO4Hb7sYINKU3jTDotpkFg,Frederiks Have Restaurant,Modern European,2
I4msAYlj82WFU_5qxMW6lQ,Bartof Cafe,Bars  Jazz and Blues  Restaurants,0
-iaDPugtxB0dd3cmPDY_fg,Mêlée,Wine Bars  French  Brasseries,0
bMD38zQtzZQ4KQRA8rskKg,GRØD,Breakfast and Brunch  Scandinavian,0
FIjjaxW4OU1I1L6MGW0eUw,Restaurant Da Claudio,Italian,2
ShnRRch4sashDtu4Vsfz3Q,Deligreco,Delicatessen  Greek,2
k6Tzvte26r_CTXovaYOoHg,Mielcke & Hurtigkarl,Modern European,2
D2bL3V9dUwJrysrEV4slkg,Bangkok,Thai,2
qr2sZCgVv7aRbJaCxuJeCg,Falcon Kebab Shop,Kebab  Falafel,0
mV_kF7m6GcIhU-SiyIUF6Q,formel B,Modern European  Scandinavian,2
ipg634saX2cEDxmMHFWEVg,Bjørnekælderen,Scandinavian  Open Sandwiches,0
fUrdQnkfwdHwNHxJRWDpVw,Pause,Breakfast and Brunch  Gluten-Free  Italian,0
t3j1A8YPW9Xx3I5jah0rWQ,Restaurant India,Indian,2
CkMqUfNDQqcx_8QdOpYE-g,WEDOFOOD - Frederiksberg,Food  Salad,0
HSNS-TjYC0Q76YQ9VCD2Hg,MG Petersens familiehave,Danish,2
PsJn1XSuyd4JjLGWdOMBuw,Acacia,Patisserie/Cake Shop  Vegan  Breakfast and Brunch,0
LdLojsOFwjKMgQsEMnQENw,Mæsk,Food  Restaurants,0
kipfBB2A5tbMXAfIUhT2uQ,Sale e Pepe,Italian,2
h-5YvgKOLsfU-ig_Ri0LRQ,Wagamama,Japanese,2
q609IE6zRY1Ex3ojz-twOQ,Sticks 'n' Sushi,Sushi Bars,0
wGmkCfUMgFTfXnJley0LHw,Satang Thai Bistro,Thai,2
LJ737M6RcHYtks4SBIWUxQ,Da Cavallino pizzeria,Pizza,0
gHjKigZKATuUXHLVJJ3rJg,Fitnesso,Restaurants  Juice Bars and Smoothies,0
RKraihLrhCjO8UbDIAtUwA,Restaurant Radio,Scandinavian,2
2c-k2ezELjj2DtuIPGfS9A,Børma Bar,Dive Bars  Restaurants,0
nRkVwUnSlK0aAF7yGCRpww,Omakase,Sushi Bars  Japanese,0
4wPlKZzaZCh_H6O4Xr_98w,Wokshop,Thai  Wok,2
C2_OEW8YKQpdF556Wcvwxg,Sushi Factory,Sushi Bars,0
yJM7lY89ynHrq64VB2ZkYA,Cafe on the Six,Breakfast and Brunch  Sandwiches,0
cFOZOaswxXBs5yMqU6YBNw,The secret Mad&Vin Frederiksberg,Beer  Wine and Spirits  Modern European,0
nusfgwfAmV1g8JamlkKOqA,La Vecchia,Italian,2
5dX-hp32AThuu2upsSH2aQ,Min Thai Takeaway,Thai,2
j7Ba6XFJn3TtaUjIwCBQpQ,D'Taste,Vietnamese  Chinese,2
X-R60RhXSX6BDVKIeGlaww,Bodrum Pizzeria,Burgers  Fast Food  Pizza,0
1gyawNJOcGNvJQrmmYMnWA,Mors Køkken,Barbeque  Scandinavian  Steakhouses,0
aAdoFSaZlK8tbOSPx7Ozyw,Café Moccador,Restaurants,0
Anw0NqXKkHc2cP2bRtP6GA,Gastro Commercial Pizzaria,Italian  Pizza,0
GHbXLKwL92PvRao7L0gMJQ,The Bronx Burger Bar,Burgers,0
SgsFk1qAC_LnvorSDOqV-w,Pizzicato,Italian,2
oPQb2vcd_yFMe_sgDt7bhQ,Pizzeria Pescara,Italian  Pizza  Sandwiches,0
yGew4kSxi-tRVvnrXAupkQ,Seoul Koreansk BBQ,Korean  Buffets,0
m9jYjb6txSJ0-jnA7Awgkw,Sans Souci,French  Danish,2
LIt2Uuk4YqqPnMKiyL7PJA,The Sandwich,Sandwiches,0
8cwRfLT0ekeRophK9CydYw,Pizzeria Ciao Ciao,Pizza,0
NUb7WgJW_1bZXfvgBm2GpA,Restaurant Kadeau,Danish  Scandinavian,2
h3u5IdngWQtdo4EmQiHJLQ,LETZ SUSHI,Japanese  Sushi Bars,0
cQc21K032hrdwXoKZR5NGA,Mangia,Italian,2
OsB7WTFM3xWs_EA1GOTeHQ,Viben Fiskehus,Seafood Markets  Seafood,0
riXaqS0MaqD7s29TyFW85w,Ancestrale,Restaurants  Wine Bars,0
ClBeeqgCD3fbTclvN5b3OQ,Lones Pølser,Fast Food  Hot Dogs,0
OQ0qfZLuSvOsnOweOndGLQ,Restaurant Tokyo,Japanese  Specialty Food,0
