Yelp ID,Business name,Average star rating,Price,review_snippets,mean_compound,pct_positive,pct_neutral,pct_negative
fiRsUCtKMmLyWs4NPtMmyg,Cafe Pelikan,3.7,$$,2,0.593,100.0,0.0,0.0
TD4f52PTWIrCOyBYzA2xbA,Alice Ice Cream & Coffee,3.8,$$,7,0.589,85.7,14.3,0.0
sj41EPHz1jc15tAa3wVrCw,Det Rene Brød,4.2,$,4,0.588,75.0,25.0,0.0
4ElB-qBWytF-mDzL8RQdKA,Kompa'9,4.3,$,7,0.588,85.7,14.3,0.0
TkNywlSTNFl7Afd6uI5iMg,Café Sonja,3.3,$,2,0.588,100.0,0.0,0.0
afHh4PKaJIrqIVuN5XsjHw,Ipsen & Co.,4.4,$$,7,0.588,85.7,14.3,0.0
EbslkQXFndj_eK8VIXBVQA,Reinh Van Hauen,4.5,$$,7,0.582,85.7,14.3,0.0
Ek0Y08ljHkAYdxvEUHk7yw,Navnløs Kaffebar,3.9,$$,5,0.582,80.0,0.0,20.0
AAfXw_dm52FxhlhjRFFJ3g,Lagkagehuset,4.4,$$,5,0.58,80.0,0.0,20.0
hTArMBLFPKB5yrIKSglh0g,Shabaz Kaffebar,3.4,$,5,0.579,80.0,20.0,0.0
_E46qEer1pB2IcdYICPYUA,Gravy,4.7,$,5,0.578,100.0,0.0,0.0
GZ52jPGOgaC3cic6QZohSg,Original Coffee,4.2,$,6,0.578,83.3,0.0,16.7
mguMbKPbwIVCjoGkhoyP-w,A.C. Perchs Thehandel,4.1,$$,7,0.577,85.7,14.3,0.0
Y5iGYyaL1XkAvbv1nodvyw,Cafe Europa 1989,3.2,$$,7,0.577,85.7,0.0,14.3
qvuG63s1VKvf2SnWkIp0OA,Cafe 22,3.0,$,7,0.576,85.7,14.3,0.0
RUZ27d0mLsO82xxKIlkeYg,Mirabelle,3.4,$$,7,0.576,71.4,28.6,0.0
-2KIGxyqLwOEl2SExzA9WA,Naturbageriet,4.4,$,7,0.573,85.7,0.0,14.3
lO0ldNuSmyaOhTwmD4hHxw,Konditori La Glace,4.0,$$,7,0.572,85.7,14.3,0.0
xn2t243dVsLR2av-9Fxsrg,Kaffestuen,3.7,$,4,0.57,75.0,25.0,0.0
9Fgyio0jBHWIYcb9kbAPuA,Brødflov,4.5,$,7,0.569,71.4,14.3,14.3
u-SOp3MDuahQFwPfxmNp4Q,Bastard Café,4.4,$,7,0.568,85.7,14.3,0.0
3ct9aTyCyYe3A2xiX1_h8Q,Cafe Norden,4.0,$$,7,0.566,85.7,0.0,14.3
nd3sQ558lwMPKxxaCbEQtA,Café Dalle Valle,2.6,$,3,0.562,100.0,0.0,0.0
Vi_GqXDFpm0k-Esyj1w6ww,Andersen Bakery,4.5,$$,7,0.561,85.7,0.0,14.3
uDzdIyUZ4PNlSS0Xbqj_dA,Zaggi's Coffee,3.7,$,7,0.56,85.7,14.3,0.0
3gBXEcBgoiov0M-S0-NqIg,Original Coffee,4.4,$$,7,0.56,100.0,0.0,0.0
b0uHokeDY7GlU6r0OhOQrg,Restaurant Nytorv,3.4,$,7,0.559,85.7,0.0,14.3
LdjupEZTguDszr2OGyQcvw,Metropolitain,2.6,$$,4,0.558,75.0,25.0,0.0
FXGoGVr4RRs6mR0iYIENmA,Mad & Kaffe,4.3,$,7,0.557,85.7,0.0,14.3
vpmk1OF6Uad2IHzSIg3QuA,Bang og Jensen,3.8,$,7,0.557,85.7,0.0,14.3
oIIXJgtP23of0HsYZ8dDzw,Nespresso,4.0,$$$,4,0.556,100.0,0.0,0.0
